label,intensidade,simetria
0,145.43529411764706,143.71372549019605
0,118.5764705882353,133.21960784313725
0,127.6,129.521568627451
0,138.04705882352943,147.0
0,146.2156862745098,119.25490196078431
0,128.07450980392156,153.5686274509804
0,136.9764705882353,151.81176470588235
0,131.24313725490197,137.08235294117645
0,142.94509803921568,142.7294117647059
0,129.09803921568627,138.7764705882353
0,128.87058823529412,144.05098039215687
0,130.61176470588236,142.69411764705882
0,129.3921568627451,120.89411764705883
0,137.51764705882354,116.02352941176471
0,157.80392156862746,141.71764705882353
0,126.28627450980392,116.15686274509804
0,131.41960784313724,124.71764705882353
0,140.28235294117647,119.25490196078431
0,148.41960784313724,148.29411764705884
0,136.99607843137255,153.07450980392156
0,140.16470588235293,129.74117647058824
0,154.2549019607843,146.97254901960787
0,126.56862745098039,135.89803921568625
0,129.64313725490197,146.68235294117648
0,132.5843137254902,128.76078431372548
0,127.16078431372549,150.8862745098039
0,151.49803921568628,135.078431372549
0,135.7019607843137,134.30980392156863
0,145.4156862745098,137.4156862745098
0,134.79607843137254,146.61960784313726
0,147.81176470588235,134.33333333333334
0,136.4156862745098,138.50196078431372
0,154.3921568627451,145.10980392156864
0,135.67843137254903,115.43921568627451
0,136.72549019607843,130.68627450980392
0,157.16470588235293,141.25882352941176
0,129.92156862745097,143.55686274509804
0,141.8235294117647,155.83529411764707
0,147.66666666666666,134.65098039215687
0,125.41176470588235,133.92549019607844
0,142.3764705882353,131.0078431372549
0,155.4470588235294,128.1843137254902
0,144.82745098039214,136.48627450980393
0,134.54901960784315,128.95686274509805
0,136.45490196078433,137.03921568627453
0,132.77254901960785,151.98039215686276
0,151.50980392156862,124.50980392156863
0,139.06666666666666,137.93725490196078
0,123.54901960784314,149.521568627451
0,123.52156862745097,116.69411764705883
0,120.43529411764706,135.25882352941176
0,150.0392156862745,122.84313725490196
0,123.32156862745099,147.5176470588235
0,143.0705882352941,139.03529411764706
0,133.3921568627451,122.25490196078431
0,118.90980392156862,136.75294117647059
0,141.2,118.78823529411764
0,146.72549019607843,142.60000000000002
0,142.38039215686274,153.10588235294117
0,116.3921568627451,127.10588235294117
0,122.2392156862745,142.65098039215687
0,151.91764705882352,142.31372549019608
0,142.04705882352943,139.58823529411762
0,129.10196078431372,153.8156862745098
0,122.84705882352941,125.5529411764706
0,154.10588235294117,145.33333333333334
0,127.88627450980393,119.14509803921568
0,145.53725490196078,132.82745098039214
0,131.93333333333334,137.6235294117647
0,133.1843137254902,135.49803921568628
0,138.37254901960785,110.98039215686273
0,123.70588235294117,137.32156862745097
0,128.37254901960785,146.94509803921568
0,141.23529411764707,119.20392156862745
0,134.1607843137255,122.43137254901961
0,141.5686274509804,114.74509803921569
0,133.30196078431374,149.76078431372548
0,142.22745098039215,134.70980392156864
0,153.62745098039215,141.04313725490195
0,133.7686274509804,116.8156862745098
0,123.87450980392157,139.14117647058822
0,139.81176470588235,122.24313725490197
0,129.75294117647059,128.83529411764707
0,125.86666666666666,152.92156862745097
0,150.40392156862745,153.23921568627452
0,152.46274509803922,149.5529411764706
0,123.43137254901961,115.56470588235294
0,130.93725490196078,153.3372549019608
0,115.31764705882352,136.3372549019608
0,143.68235294117648,120.52156862745097
0,124.23529411764706,123.3294117647059
0,129.1921568627451,131.72941176470587
0,114.32941176470588,128.05882352941177
0,124.26274509803922,123.8549019607843
0,115.89803921568627,142.078431372549
0,136.45490196078433,135.42745098039217
0,138.24705882352941,126.73333333333332
0,152.5843137254902,140.921568627451
0,121.54509803921569,145.2313725490196
0,118.07843137254902,147.88235294117646
0,121.3529411764706,117.9607843137255
0,128.41960784313724,126.29019607843136
0,137.6235294117647,151.5686274509804
0,118.29019607843138,123.66666666666666
0,127.19607843137256,148.10980392156864
0,123.91764705882353,137.83137254901962
0,153.04705882352943,124.27450980392157
0,138.45882352941177,143.38823529411764
0,128.61960784313726,116.0392156862745
0,130.3686274509804,147.7372549019608
0,129.7019607843137,144.278431372549
0,119.60392156862746,126.66274509803921
0,157.2941176470588,130.30196078431374
0,145.6705882352941,117.88627450980393
0,128.2235294117647,129.89803921568625
0,140.23529411764707,146.02745098039216
0,132.1764705882353,149.57647058823528
0,140.8,144.14901960784314
0,156.6156862745098,131.90588235294118
0,121.18039215686275,125.16078431372549
0,120.43137254901961,144.4549019607843
0,155.8,144.42745098039217
0,134.85882352941175,123.06666666666666
0,140.10196078431372,135.9764705882353
0,121.94117647058823,133.4470588235294
0,150.58039215686276,126.02745098039216
0,133.38039215686274,124.92549019607844
0,156.13333333333333,131.7294117647059
0,140.97254901960784,126.63529411764706
0,120.8078431372549,128.8313725490196
0,118.05098039215686,127.27058823529411
0,145.01176470588234,130.90588235294118
0,134.07450980392156,136.8156862745098
0,157.06666666666666,134.3686274509804
0,118.07058823529412,134.14901960784312
0,151.58039215686276,127.27843137254902
0,141.21960784313725,139.2627450980392
0,128.35686274509803,153.03921568627453
0,122.03529411764706,136.67058823529413
0,112.87843137254902,134.33333333333334
0,144.90980392156862,118.57254901960783
0,128.31764705882352,151.54117647058823
0,138.2156862745098,125.24313725490197
0,142.37254901960785,145.69019607843137
0,122.27058823529411,126.25098039215686
0,118.69411764705882,128.27450980392157
0,136.27058823529413,144.6392156862745
0,120.58431372549019,151.19607843137254
0,124.71764705882353,126.2156862745098
0,138.30196078431374,144.49803921568628
0,148.33333333333334,134.87058823529412
0,124.49411764705883,113.92156862745098
0,130.05882352941177,150.7686274509804
0,148.8078431372549,117.05882352941177
0,121.41176470588235,129.27450980392157
0,151.4156862745098,129.14509803921567
0,158.1921568627451,139.32549019607842
0,138.41960784313724,114.45882352941177
0,143.93725490196078,149.75294117647059
0,131.27843137254902,132.88235294117646
0,138.98039215686273,135.67058823529413
0,118.73725490196078,132.08627450980393
0,150.4470588235294,151.5686274509804
0,142.6,113.84313725490196
0,142.25098039215686,124.42352941176472
0,142.93333333333334,144.41960784313727
0,120.61960784313726,135.48235294117646
0,154.82745098039214,127.5921568627451
0,150.90588235294118,128.7764705882353
0,114.95294117647059,142.70588235294116
0,130.2980392156863,131.6235294117647
0,151.1607843137255,115.54901960784314
0,119.25882352941177,124.21960784313725
0,131.33333333333334,132.0862745098039
0,140.98431372549018,116.85490196078432
0,145.06274509803922,140.51372549019607
